Pico (Tensão - Dados),Pico (Corrente - Dados),Vale (Tensão - Dados),Vale (Corrente - Dados),Distância Picos-Vales (Dados),Distância Picos Consecutivos (V),Distância Vales Consecutivos (V),Média Distância Picos Consecutivos (V),Média Distância Vales Consecutivos (V)
1.92,,6.11,,4.19,10.45,7.8500000000000005,5.32125,4.8275
12.37,,13.96,,1.5900000000000016,5.220000000000001,5.539999999999999,,
17.59,,19.5,,1.9100000000000001,4.879999999999999,5.039999999999999,,
22.47,0.005,24.54,,2.0700000000000003,4.880000000000003,4.880000000000003,,
27.35,,29.42,,2.0700000000000003,4.949999999999996,5.0,,
32.3,,34.42,,2.1200000000000045,5.090000000000003,4.890000000000001,,
37.39,,39.31,,1.9200000000000017,4.880000000000003,5.119999999999997,,
42.27,,44.43,-0.01,2.1599999999999966,2.219999999999999,0.29999999999999716,,
44.49,,44.73,,0.23999999999999488,,,,
,0.02,,,,,,,
,,,0.015,,,,,
,0.044,,,,,,,
,,,0.03,,,,,
,0.089,,,,,,,
,,,0.044,,,,,
,0.153,,,,,,,
,,,0.054,,,,,
,0.2319999999999999,,,,,,,
,,,0.064,,,,,
,0.355,,,,,,,
,,,0.0839999999999999,,,,,
,0.518,,,,,,,
,,,0.094,,,,,
,0.099,,,,,,,
,,,0.089,,,,,
